SubhaloID,SubhaloLen,SubhaloMass,x,y,z
000_3604,8135,67276.45,15802.670124990396,95796.99999807928,57273.10875941149
000_3560,7903,65357.81,18871.569905959368,85225.59845746869,63860.098277552825
000_3659,7079,58543.33,77932.68979331473,108471.79395152036,82784.28945980188
000_4188,6699,55400.73,7962.733415201896,75978.0006997313,48899.98880604848
000_583,5619,46469.13,12508.89864866274,12343.364169176288,30997.85564776039
000_4191,4903,40547.81,101487.32487921936,103533.46841538344,90815.58819855192
000_3989,4759,39356.93,99251.5406417446,3135.218399358863,42573.04351951565
000_1102,4267,35288.09,38051.014159355225,69337.15000109855,96156.84380675826
000_1962,3541,29284.07,43076.64092174704,2116.08806588777,81765.66292405041
000_4231,3396,28084.92,6546.916033597661,79941.50371990945,86792.71332081861
000_720,3393,28060.11,47631.35724630673,4218.80701363561,32002.60415112456
000_4206,2725,22535.75,65964.41702694954,97380.42166857798,90538.0182712156
000_2422,2682,22180.14,73890.4503577088,108736.4744826622,80409.13948312827
000_4128,2650,21915.5,84270.97633254717,95115.20169516507,81130.36145341981
000_31,2464,20377.28,84322.22128652598,23779.587604473163,44124.56799316406
000_4157,2382,19699.14,94544.62998858628,42208.42077626469,92832.87474745489
000_1999,2353,19459.31,48537.38103285699,101263.16230277836,63613.84304113101
000_4193,2207,18251.89,32068.55417775827,82184.39609410398,104179.3438561962
000_3954,2045,16912.149999999998,618.0177034584409,67593.47674587408,92910.39018948656
000_2149,2040,16870.8,4241.789480530982,39348.10360179228,49212.46326593137
000_1273,1970,16291.9,45400.73364133883,31022.324593512058,115260.1344860406
000_903,1964,16242.28,110909.22746547226,21647.200914309127,115403.0764821474
000_4008,1962,16225.74,18206.05899890896,89134.72350439602,53284.1372961264
000_2706,1811,14976.97,94745.62551335587,16035.916531677078,41004.31057599393
000_4207,1804,14919.08,6509.730296065168,78053.51351597146,87047.53987666297
000_2219,1791,14811.57,84011.9663813861,592.7576028188469,44329.1546927345
000_817,1766,14604.82,93206.77745434598,41007.31752769323,112867.90965193234
000_534,1766,14604.82,72473.17623690543,1073.1944029344709,32601.887225279588
000_4239,1761,14563.47,26100.112773282224,92551.54227888984,91188.46715289608
000_3209,1720,14224.4,19454.382471838664,72296.85926598837,18945.371202761628
000_3894,1692,13992.84,110065.49762669916,80960.1525653812,72515.29786310579
000_3762,1684,13926.679999999998,83808.17110952345,117339.4422134798,84195.80581483818
000_1229,1664,13761.28,62701.2780104417,44456.11860539363,104104.61173189605
000_172,1654,13678.58,33162.343787787184,113511.03785331016,62714.50980813558
000_2045,1642,13579.34,28355.87517842189,7020.141884658572,75660.46831702953
000_4186,1623,13422.21,33605.38587877388,95045.897859866,88214.88691370148
000_4006,1617,13372.59,15522.329707912995,84503.7767373995,51896.41017316018
000_4057,1588,13132.76,53785.36581490082,47849.66650759603,28340.49539146135
000_4168,1564,12934.28,104643.84626758313,40277.063903652495,65263.20114440138
000_1430,1538,12719.26,67835.42887475618,113350.51025581112,56525.41882467084
000_4118,1513,12512.51,96339.05049983476,40598.79338958196,90147.5069398546
000_3708,1498,12388.46,41279.56030957944,13982.312866373915,63196.4569295519
000_3643,1494,12355.38,22005.798613725736,85061.1179980338,67746.96754204317
000_4140,1467,12132.09,25311.851111164367,86625.21512333845,98902.78654354124
000_2333,1457,12049.39,100736.34728358783,115880.6084044698,81518.26798966198
000_3470,1435,11867.45,44248.802368249126,50500.03334331446,27661.128141332752
000_2909,1430,11826.1,3573.406822962194,71121.42371612763,78045.24418706294
000_3335,1391,11503.57,82702.55601860172,114690.66368058052,83635.68526464773
000_4016,1389,11487.03,12764.094366591298,82684.27012464002,51972.7342175126
000_3447,1381,11420.87,2214.942146450432,73227.19633078385,48612.286774189895
000_1863,1357,11222.39,63367.876499746686,88059.21822609617,53417.54521405214
000_2409,1351,11172.77,78096.40450360844,65906.97023327628,30083.70049818421
000_652,1344,11114.88,63028.77596609933,2089.1463557652064,15341.939006260463
000_4163,1336,11048.72,104884.78674097118,44518.32931207897,66700.38029799775
000_2718,1306,10800.62,32700.36636497416,5377.5674867498565,82633.36707384189
000_3210,1296,10717.92,19816.455049491226,69913.12726658951,18637.97462896653
000_1260,1279,10577.33,47622.94874841184,21672.28687420592,92301.52898382524
000_4111,1259,10411.93,4830.073024225576,68195.44325853852,54932.83200332605
000_4024,1219,10081.13,2471.7695677008564,83471.41447908121,90330.6449061731
000_4101,1207,9981.89,104832.31533502486,46006.87581879143,67332.2074552092
000_2527,1197,9899.19,17186.56295850303,71931.23207758981,25826.119535492377
000_4069,1196,9890.92,1557.8759024119297,31349.937028049226,63858.28983329849
000_2811,1163,9618.01,4846.167076366683,55719.1412497313,70764.31652380696
000_3641,1155,9551.85,16907.362571868234,86981.97390422078,10135.58867102949
000_2912,1121,9270.67,13003.37537024002,76804.0963146744,98809.99314228368
000_873,1114,9212.78,73720.02054112432,109684.1817282877,114194.0157582473
000_3351,1113,9204.51,103610.26050089848,39628.92513547282,60754.89219732704
000_1572,1092,9030.84,64457.34386089171,109163.5184509501,102112.47771434295
000_4229,1052,8700.039999999999,47412.51697659221,48698.80696367039,26209.23507307509
000_3822,1045,8642.15,13798.023997271232,87632.1180472488,32580.524579470693
000_1399,1031,8526.369999999999,72081.9775248545,117204.09227994664,56462.88944289525
000_3241,1012,8369.24,11335.324567108755,102548.62547091156,38421.01399610919
000_2581,1008,8336.16,76938.78033544146,73677.06909567212,74502.22130766368
000_4103,1007,8327.89,91185.092500931,19754.650764957794,33296.668525400324
000_1952,1004,8303.08,51463.13318989666,8729.794421921688,88952.78810539094
000_2406,986,8154.219999999999,85869.93326096602,118039.8211048428,76040.94734089756
000_4086,983,8129.41,101001.42194652848,61707.44024589904,65991.00401354273
000_3960,975,8063.25,96587.5280448718,39026.33601762821,74273.6321474359
000_3170,975,8063.25,6818.59937900641,74923.0916426282,83641.44478365385
000_2557,973,8046.71,103609.2889019142,75585.84841501799,54741.22343509121
