x,y,z,radius
96679.6875,92773.4375,42968.75,29000.0
36132.8125,45898.4375,68359.375,28000.0
41015.625,96679.6875,14648.4375,24000.0
91796.875,45898.4375,24414.0625,20000.0
76171.875,121093.75,9765.625,19000.0
22460.9375,116210.9375,116210.9375,18000.0
23437.5,31250.0,20507.8125,18000.0
82031.25,59570.3125,105468.75,17000.0
74218.75,22460.9375,62500.0,17000.0
84960.9375,22460.9375,113281.25,17000.0
114257.8125,40039.0625,120117.1875,16000.0
50781.25,13671.875,115234.375,16000.0
84960.9375,118164.0625,101562.5,15000.0
119140.625,13671.875,6835.9375,15000.0
73242.1875,16601.5625,22460.9375,14000.0
4882.8125,91796.875,124023.4375,13000.0
48828.125,22460.9375,37109.375,13000.0
20507.8125,121093.75,48828.125,13000.0
23437.5,14648.4375,107421.875,12000.0
112304.6875,63476.5625,83007.8125,12000.0
120117.1875,61523.4375,27343.75,12000.0
8789.0625,68359.375,1953.125,12000.0
109375.0,13671.875,32226.5625,12000.0
16601.5625,123046.875,17578.125,12000.0
50781.25,109375.0,93750.0,12000.0
37109.375,82031.25,86914.0625,12000.0
3906.25,12695.3125,6835.9375,12000.0
51757.8125,27343.75,7812.5,11000.0
10742.1875,88867.1875,100585.9375,11000.0
99609.375,80078.125,97656.25,11000.0
1953.125,120117.1875,92773.4375,11000.0
41992.1875,61523.4375,16601.5625,11000.0
37109.375,115234.375,75195.3125,11000.0
97656.25,49804.6875,54687.5,11000.0
10742.1875,12695.3125,58593.75,11000.0
2929.6875,90820.3125,64453.125,11000.0
42968.75,108398.4375,51757.8125,11000.0
67382.8125,62500.0,83007.8125,10000.0
31250.0,13671.875,48828.125,10000.0
118164.0625,32226.5625,83007.8125,10000.0
59570.3125,63476.5625,34179.6875,10000.0
41015.625,53710.9375,105468.75,10000.0
83984.375,93750.0,93750.0,10000.0
63476.5625,112304.6875,35156.25,10000.0
61523.4375,976.5625,72265.625,10000.0
69335.9375,75195.3125,65429.6875,10000.0
2929.6875,59570.3125,102539.0625,9000.0
12695.3125,28320.3125,45898.4375,9000.0
60546.875,47851.5625,117187.5,9000.0
11718.75,103515.625,28320.3125,9000.0
56640.625,73242.1875,105468.75,9000.0
53710.9375,33203.125,99609.375,9000.0
96679.6875,12695.3125,15625.0,9000.0
13671.875,94726.5625,81054.6875,9000.0
41992.1875,0.0,70312.5,9000.0
30273.4375,81054.6875,58593.75,9000.0
85937.5,72265.625,12695.3125,9000.0
52734.375,8789.0625,57617.1875,9000.0
117187.5,22460.9375,49804.6875,9000.0
87890.625,57617.1875,70312.5,9000.0
54687.5,86914.0625,69335.9375,9000.0
31250.0,72265.625,42968.75,9000.0
106445.3125,120117.1875,67382.8125,9000.0
108398.4375,66406.25,10742.1875,9000.0
115234.375,42968.75,47851.5625,9000.0
110351.5625,112304.6875,14648.4375,8000.0
86914.0625,121093.75,64453.125,8000.0
64453.125,64453.125,51757.8125,8000.0
69335.9375,12695.3125,84960.9375,8000.0
73242.1875,124023.4375,44921.875,8000.0
16601.5625,72265.625,53710.9375,8000.0
